category,product,rating,reviewText,date,deviceHash,verified,reviewLength
Electronics,Crucial T700 SSD,4,Love my Crucial T700 SSD - it's intuitive and reliable.,2002-01-23,DEV-231004,True,10
Electronics,Meta Quest 3,4,Love my Meta Quest 3 - it's intuitive and reliable.,2002-01-04,DEV-265818,False,10
Electronics,Meta Quest 3,4,Great Meta Quest 3! Very sleek and easy to use.,2003-11-22,DEV-851617,True,10
Electronics,HP Spectre x360,4,Great HP Spectre x360! Very sleek and easy to use.,2015-04-05,DEV-258724,True,10
Electronics,MacBook Pro M3,3,"Decent MacBook Pro M3, nothing faulty but functional.",2023-06-09,DEV-978377,True,8
Electronics,Nintendo Switch OLED,4,Great Nintendo Switch OLED! Very intuitive and easy to use.,2004-11-04,DEV-479548,True,10
Electronics,Seagate FireCuda 530,5,Perfect Seagate FireCuda 530! Absolutely sleek and worth every penny.,2016-02-23,DEV-867715,True,10
Electronics,Seagate FireCuda 530,4,Great Seagate FireCuda 530! Very reliable and easy to use.,2005-05-04,DEV-640053,True,10
Electronics,Samsung S24 Ultra,2,Samsung S24 Ultra works okay but feels unreliable for the price.,2012-12-04,DEV-796130,False,11
Electronics,Shure SM7B,5,Perfect Shure SM7B! Absolutely reliable and worth every penny.,2003-10-27,DEV-254019,True,9
Electronics,Samsung Tab S9,4,Great Samsung Tab S9! Very sleek and easy to use.,2012-06-07,DEV-832272,True,10
Electronics,Samsung S24 Ultra,5,Best Samsung S24 Ultra I've owned - super durable!,2022-12-19,DEV-333251,True,9
Electronics,Canon EOS R5,2,Disappointed with Canon EOS R5 - overpriced build quality.,2026-07-18,DEV-899076,True,9
Electronics,Google Pixel 8 Pro,3,Google Pixel 8 Pro is average - faulty but gets the job done.,2004-05-02,DEV-220331,True,13
Electronics,Apple Watch Series 9,4,Great Apple Watch Series 9! Very reliable and easy to use.,2022-01-27,DEV-752957,True,11
Electronics,Samsung 990 PRO SSD,2,Samsung 990 PRO SSD works okay but feels fragile for the price.,2022-07-12,DEV-214346,True,12
Electronics,Blue Yeti Microphone,1,Worst purchase ever. Blue Yeti Microphone is completely fragile.,2006-10-03,DEV-425826,True,9
Electronics,Xiaomi 14 Ultra,4,Love my Xiaomi 14 Ultra - it's durable and reliable.,2009-09-26,DEV-812279,True,10
Electronics,Garmin Venu 3,4,Love my Garmin Venu 3 - it's powerful and reliable.,2005-09-19,DEV-537268,True,10
Electronics,Nothing Phone 2,3,Nothing Phone 2 is average - fragile but gets the job done.,2008-10-06,DEV-885368,True,12
Electronics,Razer BlackShark V2,4,Love my Razer BlackShark V2 - it's sleek and reliable.,2013-12-10,DEV-409778,True,10
Electronics,Sony A7 IV,5,Best Sony A7 IV I've owned - super sleek!,2005-03-27,DEV-170892,True,9
Electronics,Blue Yeti Microphone,1,This Blue Yeti Microphone is fragile - broke within a week!,2024-10-30,DEV-126468,True,11
