category,product,rating,reviewText,date,deviceHash,verified,reviewLength
Cafes,Peggy's Cuppa,4,Lovely Peggy's Cuppa! welcoming atmosphere and great coffee.,2002-11-06,DEV-761225,True,8
Cafes,Loco Latte,4,Enjoyed Loco Latte - refreshing drinks and cozy vibe.,2003-01-07,DEV-277027,True,9
Cafes,Spezia Bistro,5,Love Spezia Bistro - truly cozy and relaxing.,2009-04-28,DEV-354329,False,8
Cafes,Barista,5,Love Barista - truly welcoming and relaxing.,2000-05-09,DEV-106672,True,7
Cafes,Ama Cafe Majnu Ka Tilla,5,Perfect cafe! Ama Cafe Majnu Ka Tilla offers welcoming coffee and pastries.,2001-12-15,DEV-285358,True,12
Cafes,Ama Cafe Majnu Ka Tilla,3,Ama Cafe Majnu Ka Tilla is fine - stale but comfortable spot.,2026-02-15,DEV-113051,True,12
Cafes,Ama Cafe Majnu Ka Tilla,4,Enjoyed Ama Cafe Majnu Ka Tilla - cozy drinks and cozy vibe.,2025-03-05,DEV-321557,False,12
Cafes,Spezia Bistro,3,Spezia Bistro is fine - overpriced but comfortable spot.,2010-04-30,DEV-829135,True,9
Cafes,Cafe Out of the Box,5,Love Cafe Out of the Box - truly artisan and relaxing.,2008-12-04,DEV-144186,True,11
Cafes,The Humble Toast,5,Love The Humble Toast - truly cozy and relaxing.,2014-02-23,DEV-615783,False,9
Cafes,Triveni Terrace Cafe,5,Perfect cafe! Triveni Terrace Cafe offers cozy coffee and pastries.,2001-01-23,DEV-859731,True,10
Cafes,Blue Tokai,4,Lovely Blue Tokai! artisan atmosphere and great coffee.,2025-04-08,DEV-832556,True,8
Cafes,Diggin Cafe,1,Worst cafe visit. Diggin Cafe serves crowded drinks.,2000-08-31,DEV-407031,True,8
Cafes,The Brew Estate,3,The Brew Estate is fine - stale but comfortable spot.,2016-02-13,DEV-823449,True,10
Cafes,Spezia Bistro,5,Love Spezia Bistro - truly aromatic and relaxing.,2008-10-04,DEV-488660,True,8
Cafes,Cafe Plaka,5,Perfect cafe! Cafe Plaka offers aromatic coffee and pastries.,2020-10-27,DEV-466004,True,9
Cafes,Cafe Out of the Box,2,Cafe Out of the Box okay but drinks were bitter.,2000-01-28,DEV-336088,False,10
Cafes,Cafe Coffee Day,4,Enjoyed Cafe Coffee Day - cozy drinks and cozy vibe.,2017-04-12,DEV-560961,True,10
Cafes,Lashkaraa Cafe,5,Love Lashkaraa Cafe - truly artisan and relaxing.,2006-06-13,DEV-917938,False,8
Cafes,Subko,4,Lovely Subko! aromatic atmosphere and great coffee.,2017-03-21,DEV-689970,True,7
Cafes,Truffles,5,Love Truffles - truly cozy and relaxing.,2016-10-21,DEV-408084,True,7
Cafes,Ama Cafe Majnu Ka Tilla,4,Enjoyed Ama Cafe Majnu Ka Tilla - artisan drinks and cozy vibe.,2024-04-24,DEV-294241,True,12
Cafes,Lashkaraa Cafe,5,Perfect cafe! Lashkaraa Cafe offers cozy coffee and pastries.,2008-03-27,DEV-424879,False,9
Cafes,The Flying Squirrel,5,Perfect cafe! The Flying Squirrel offers cozy coffee and pastries.,2014-12-10,DEV-423289,True,10
Cafes,Peggy's Cuppa,4,Enjoyed Peggy's Cuppa - artisan drinks and cozy vibe.,2014-01-24,DEV-636334,True,9
Cafes,Third Wave Coffee,5,Perfect cafe! Third Wave Coffee offers aromatic coffee and pastries.,2017-06-27,DEV-385987,True,10
Cafes,Loco Latte,5,Love Loco Latte - truly artisan and relaxing.,2021-07-26,DEV-132545,True,8
Cafes,Triveni Terrace Cafe,4,Enjoyed Triveni Terrace Cafe - artisan drinks and cozy vibe.,2016-02-15,DEV-321984,True,10
Cafes,Gloria Jean's,5,Love Gloria Jean's - truly artisan and relaxing.,2016-10-07,DEV-279563,True,8
Cafes,Subko,2,Average experience at Subko - somewhat stale.,2017-09-11,DEV-289658,True,7
Cafes,Cafe Noir,4,Lovely Cafe Noir! cozy atmosphere and great coffee.,2002-06-17,DEV-338493,True,8
Cafes,Mocha,1,Worst cafe visit. Mocha serves crowded drinks.,2001-04-20,DEV-398175,False,7
Cafes,Cafe Meraki,4,Enjoyed Cafe Meraki - welcoming drinks and cozy vibe.,2011-01-13,DEV-927090,False,9
Cafes,Cafe Turtle,4,Enjoyed Cafe Turtle - cozy drinks and cozy vibe.,2015-06-01,DEV-714847,True,9
Cafes,Cafe Turtle,5,Love Cafe Turtle - truly cozy and relaxing.,2010-09-19,DEV-432177,True,8
Cafes,Cafe Peter,3,"Standard cafe Cafe Peter, nothing dirty special.",2009-01-07,DEV-830567,True,7
Cafes,Cafe Peter,4,Lovely Cafe Peter! cozy atmosphere and great coffee.,2015-05-06,DEV-483791,True,8
Cafes,Cafe C,5,Love Cafe C - truly welcoming and relaxing.,2026-10-14,DEV-276910,True,8
Cafes,Keventers,4,Lovely Keventers! refreshing atmosphere and great coffee.,2001-02-18,DEV-701449,True,7
Cafes,Cafe Lota,1,Worst cafe visit. Cafe Lota serves stale drinks.,2017-01-06,DEV-482517,True,8
Cafes,The Flying Squirrel,4,Lovely The Flying Squirrel! aromatic atmosphere and great coffee.,2012-01-13,DEV-398969,True,9
Cafes,Dr Zombie,3,"Standard cafe Dr Zombie, nothing stale special.",2015-03-21,DEV-572290,True,7
Cafes,Blue Tokai,4,Lovely Blue Tokai! refreshing atmosphere and great coffee.,2009-03-09,DEV-595127,True,8
Cafes,Diggin Cafe,3,Diggin Cafe is fine - bitter but comfortable spot.,2006-11-08,DEV-280547,True,9
Cafes,Truffles,4,Enjoyed Truffles - aromatic drinks and cozy vibe.,2019-05-03,DEV-384926,True,8
Cafes,Steve and Dodo,5,Perfect cafe! Steve and Dodo offers welcoming coffee and pastries.,2013-02-09,DEV-193111,True,10
Cafes,Starbucks,3,"Standard cafe Starbucks, nothing crowded special.",2022-09-19,DEV-707778,True,6
Cafes,Mocha,4,Enjoyed Mocha - refreshing drinks and cozy vibe.,2022-08-03,DEV-388469,True,8
Cafes,Big Yellow Door,4,Enjoyed Big Yellow Door - artisan drinks and cozy vibe.,2010-01-04,DEV-101121,True,10
Cafes,Mocha,5,Love Mocha - truly cozy and relaxing.,2020-03-13,DEV-764085,True,7
Cafes,The Pantry,4,Lovely The Pantry! cozy atmosphere and great coffee.,2017-01-15,DEV-321759,True,8
Cafes,Farmers Basket Pluck,3,Farmers Basket Pluck is fine - overpriced but comfortable spot.,2000-07-08,DEV-951643,True,10
Cafes,Cafe Turtle,5,Perfect cafe! Cafe Turtle offers refreshing coffee and pastries.,2022-04-04,DEV-142175,True,9
Cafes,Cafe Meraki,3,"Standard cafe Cafe Meraki, nothing overpriced special.",2015-04-02,DEV-833511,False,7
Cafes,Cafe Delhi Heights,3,Cafe Delhi Heights is fine - bitter but comfortable spot.,2005-09-20,DEV-608017,True,10
Cafes,Amma's Cafe,4,Enjoyed Amma's Cafe - artisan drinks and cozy vibe.,2010-11-06,DEV-330471,True,9
Cafes,Truffles,4,Lovely Truffles! aromatic atmosphere and great coffee.,2001-12-14,DEV-603810,True,7
Cafes,Big Yellow Door,5,Love Big Yellow Door - truly aromatic and relaxing.,2020-05-15,DEV-734168,True,9
Cafes,Social Offline,3,"Standard cafe Social Offline, nothing bitter special.",2025-09-27,DEV-479072,True,7
Cafes,Dr Zombie,5,Perfect cafe! Dr Zombie offers aromatic coffee and pastries.,2012-02-18,DEV-218453,True,9
Cafes,Lashkaraa Cafe,5,Perfect cafe! Lashkaraa Cafe offers refreshing coffee and pastries.,2021-02-04,DEV-823186,True,9
Cafes,Keventers,5,Perfect cafe! Keventers offers refreshing coffee and pastries.,2010-12-15,DEV-754196,True,8
Cafes,The Flying Squirrel,2,The Flying Squirrel okay but drinks were stale.,2012-06-20,DEV-281396,True,8
Cafes,Diggin Cafe,5,Perfect cafe! Diggin Cafe offers refreshing coffee and pastries.,2024-05-08,DEV-134873,False,9
Cafes,Cafe Noir,4,Lovely Cafe Noir! artisan atmosphere and great coffee.,2009-05-25,DEV-541813,True,8
Cafes,Subko,2,Subko okay but drinks were dirty.,2012-09-15,DEV-553808,True,6
Cafes,The Humble Toast,4,Lovely The Humble Toast! artisan atmosphere and great coffee.,2006-12-02,DEV-547590,True,9
Cafes,Chai Point,5,Perfect cafe! Chai Point offers welcoming coffee and pastries.,2016-03-19,DEV-863982,True,9
